genome	host_species	cluster	family	genus
EHA00463_bin.22	Peromyscus_maniculatus	1029	f__Rikenellaceae	g__Alistipes
EHA00551_bin.3	Psittacula_echo	3284	f__Enterobacteriaceae	g__Citrobacter_A
EHA01190_bin.18	Psittacula_echo	3280	f__Enterobacteriaceae	g__Morganella
EHA01190_bin.16	Psittacula_echo	3285	f__Enterobacteriaceae	g__Pantoea
EHA01190_bin.23	Psittacula_echo	3274	f__Enterobacteriaceae	g__Serratia
EHA00535_bin.19	Strix_aluco	5612	f__Lachnospiraceae	g__Acetatifactor
EHA00531_bin.10	Strix_aluco	499	f__Akkermansiaceae	g__Akkermansia
EHA00539_bin.21	Strix_aluco	6699	f__Erysipelotrichaceae	g__Amedibacterium
EHA00536_bin.9	Strix_aluco	1146	f__Bacteroidaceae	g__Bacteroides
EHA00531_bin.7	Strix_aluco	3547	f__Desulfovibrionaceae	g__Bilophila
EHA00535_bin.3	Strix_aluco	5610	f__Lachnospiraceae	g__CAG-95
EHA00531_bin.2	Strix_aluco	5641	f__Lachnospiraceae	g__Clostridium_Q
EHA00539_bin.12	Strix_aluco	5641	f__Lachnospiraceae	g__Clostridium_Q
EHA00536_bin.28	Strix_aluco	5639	f__Lachnospiraceae	g__Enterocloster
EHA00536_bin.10	Strix_aluco	6902	f__Enterococcaceae	g__Enterococcus
EHA00529_bin.3	Strix_aluco	3284	f__Enterobacteriaceae	g__Escherichia
EHA00536_bin.1	Strix_aluco	3284	f__Enterobacteriaceae	g__Escherichia
EHA00528_bin.19	Strix_aluco	3284	f__Enterobacteriaceae	g__Escherichia
EHA00539_bin.1	Strix_aluco	1154	f__Bacteroidaceae	g__Mediterranea
EHA00531_bin.1	Strix_aluco	1159	f__Tannerellaceae	g__Parabacteroides
EHA00531_bin.6	Strix_aluco	1159	f__Tannerellaceae	g__Parabacteroides
EHA00539_bin.2	Strix_aluco	1159	f__Tannerellaceae	g__Parabacteroides
EHA00539_bin.6	Strix_aluco	1159	f__Tannerellaceae	g__Parabacteroides
EHA00536_bin.20	Strix_aluco	1159	f__Tannerellaceae	g__Parabacteroides
EHA00536_bin.3	Strix_aluco	1159	f__Tannerellaceae	g__Parabacteroides
EHA00535_bin.6	Strix_aluco	1159	f__Tannerellaceae	g__Parabacteroides
EHA00531_bin.8	Strix_aluco	1141	f__Bacteroidaceae	g__Phocaeicola
EHA00539_bin.18	Strix_aluco	1141	f__Bacteroidaceae	g__Phocaeicola
EHA00536_bin.18	Strix_aluco	1141	f__Bacteroidaceae	g__Phocaeicola
EHA00539_bin.14	Strix_aluco	7049	f__Gastranaerophilaceae	g__Stercorousia
EHA00539_bin.22	Strix_aluco	1019	f__Rikenellaceae	g__Tidjanibacter
EHA01202_bin.13	Strix_aluco	5621	f__Lachnospiraceae	g__Acetatifactor
EHA01202_bin.10	Strix_aluco	1146	f__Bacteroidaceae	g__Bacteroides
EHA01202_bin.30	Strix_aluco	1146	f__Bacteroidaceae	g__Bacteroides
EHA01202_bin.144	Strix_aluco	5537	f__Lachnospiraceae	g__Blautia
EHA01202_bin.55	Strix_aluco	5127	f__Ruminococcaceae	g__CAG-115
EHA01202_bin.152	Strix_aluco	4906	f__Oscillospiraceae	g__Enterenecus
EHA01202_bin.103	Strix_aluco	3894	f__Fusobacteriaceae	g__Fusobacterium_A
EHA01202_bin.26	Strix_aluco	1159	f__Tannerellaceae	g__Parabacteroides
EHA01202_bin.130	Strix_aluco	1141	f__Bacteroidaceae	g__Phocaeicola
EHA01202_bin.81	Strix_aluco	1141	f__Bacteroidaceae	g__Phocaeicola
EHA01202_bin.124	Strix_aluco	3280	f__Enterobacteriaceae	g__Proteus
EHA01202_bin.96	Strix_aluco	7049	f__Gastranaerophilaceae	g__Stercorousia
EHA01202_bin.84	Strix_aluco	53	f__Treponemataceae	g__Treponema_D
EHA01202_bin.85	Strix_aluco	5599	f__Lachnospiraceae	g__UBA3282
EHA00563_bin.9	Podarcis_pityusensis	5524	f__Lachnospiraceae	g__Merdenecus
EHA01514_bin.114	Podarcis_muralis	6697	f__Erysipelotrichaceae	g__
EHA01514_bin.137	Podarcis_muralis	5633	f__Lachnospiraceae	g__
EHA01514_bin.147	Podarcis_muralis	5612	f__Lachnospiraceae	g__Acetatifactor
EHA01514_bin.131	Podarcis_muralis	499	f__Akkermansiaceae	g__Akkermansia
EHA01514_bin.130	Podarcis_muralis	1029	f__Rikenellaceae	g__Alistipes
EHA01514_bin.133	Podarcis_muralis	1029	f__Rikenellaceae	g__Alistipes
EHA01514_bin.66	Podarcis_muralis	1029	f__Rikenellaceae	g__Alistipes
EHA01514_bin.91	Podarcis_muralis	1029	f__Rikenellaceae	g__Alistipes
EHA01514_bin.112	Podarcis_muralis	6699	f__Erysipelotrichaceae	g__Amedibacillus
EHA01514_bin.26	Podarcis_muralis	5092	f__Ruminococcaceae	g__Anaerotruncus
EHA01514_bin.115	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01514_bin.51	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01514_bin.8	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01514_bin.95	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01514_bin.76	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01514_bin.57	Podarcis_muralis	6694	f__Erysipelotrichaceae	g__Breznakia
EHA01514_bin.97	Podarcis_muralis	3284	f__Enterobacteriaceae	g__Buttiauxella
