host_species	X	class	color
Salamandra atra		Amphibia	#59c2b1
Lissotriton helveticus		Amphibia	#59c2b1
Lissotriton vulgaris		Amphibia	#59c2b1
Dasyurus geoffroii		Mammalia	#a280ba
Trichosurus vulpecula		Mammalia	#a280ba
Petrogale xanthopus		Mammalia	#a280ba
Lasiorhinus latifrons		Mammalia	#a280ba
Hipposideros ruber		Mammalia	#5d6cb2
Rhinolophus ferrumequinum		Mammalia	#5d6cb2
Rhinolophus euryale		Mammalia	#5d6cb2
Rhinolophus landeri		Mammalia	#5d6cb2
Rhinolophus alcyone		Mammalia	#5d6cb2
Rhinolophus hipposideros		Mammalia	#5d6cb2
Mops thersites		Mammalia	#5d6cb2
Myotis brandtii		Mammalia	#5d6cb2
Myotis bechsteinii		Mammalia	#5d6cb2
Myotis escalerai		Mammalia	#5d6cb2
Myotis mystacinus		Mammalia	#5d6cb2
Myotis bocagii		Mammalia	#5d6cb2
Plecotus austriacus		Mammalia	#5d6cb2
Plecotus auritus		Mammalia	#5d6cb2
Barbastella barbastellus		Mammalia	#5d6cb2
Nyctalus noctula		Mammalia	#5d6cb2
Eptesicus nilssonii		Mammalia	#5d6cb2
Chaerephon pumila		Mammalia	#5d6cb2
Muscardinus avellanarius		Mammalia	#3972ba
Marmota sibirica		Mammalia	#3972ba
Eutamias sibiricus		Mammalia	#3972ba
Sciurus carolinensis		Mammalia	#3972ba
Sciurus vulgaris		Mammalia	#3972ba
Peromyscus maniculatus		Mammalia	#3972ba
Microtus agrestis		Mammalia	#3972ba
Myodes glareolus		Mammalia	#3972ba
Myodes rufocanus		Mammalia	#3972ba
Apodemus flavicollis		Mammalia	#3972ba
Apodemus sylvaticus		Mammalia	#3972ba
Canis familiaris		Mammalia	#50afe5
Tarentola mauritanica		Reptilia	#b4d068
Chalcides striatus		Reptilia	#8cc85e
Sceloporus torquatus		Reptilia	#85a541
Sceloporus mucronatus		Reptilia	#85a541
Sceloporus subniger		Reptilia	#85a541
Sceloporus tristichus		Reptilia	#85a541
Sceloporus variabilis		Reptilia	#85a541
Podarcis pityusensis		Reptilia	#85a541
Podarcis gaigeae		Reptilia	#85a541
Podarcis hispanicus		Reptilia	#85a541
Podarcis liolepis		Reptilia	#85a541
Podarcis muralis		Reptilia	#85a541
Podarcis filfolensis		Reptilia	#85a541
Podarcis sp.		Reptilia	#85a541
Psammodromus manuelae		Reptilia	#85a541
Lacerta viridis		Reptilia	#85a541
Timon lepidus		Reptilia	#85a541
Iberolacerta aranica		Reptilia	#85a541
Iberolacerta bonnali		Reptilia	#85a541
Acanthodactylus erythrurus		Reptilia	#85a541
Psammodromus algirus 		Reptilia	#85a541
Chloroceryle americana		Aves	#f29859
Strix aluco		Aves	#f29859
Cathartes aura		Aves	#f29859
Coragyps atratus		Aves	#f29859
Psittacula echo		Aves	#f29859
Perisoreus infaustus		Aves	#f29859
Cyanoloxia rothschildii		Aves	#f29859
Myrmelastes hyperythrus		Aves	#f29859
