Peromyscus maniculatus
Psittacula echo
Strix aluco
Podarcis pityusensis
Podarcis muralis
Lasiorhinus latifrons
Coragyps atratus
Cathartes aura
Chalcides striatus
Podarcis hispanicus
Timon lepidus
Canis familiaris
Plecotus auritus
Podarcis gaigeae
Podarcis filfolensis
Apodemus flavicollis
Apodemus sylvaticus
Iberolacerta bonnali
Trichosurus vulpecula
Dasyurus geoffroii
Petrogale xanthopus
Perisoreus infaustus
Myotis bechsteinii
Lissotriton helveticus
Sciurus vulgaris
Sciurus carolinensis
Acanthodactylus erythrurus
Barbastella barbastellus
Chaerephon pumila
Chloroceryle americana
Cyanoloxia rothschildii
Eutamias sibiricus
Eptesicus nilssonii
Hipposideros ruber
Iberolacerta aranica
Lacerta viridis
Marmota sibirica
Microtus agrestis
Mops pumilus
Muscardinus avellanarius
Myodes glareolus
Myodes rufocanus
Myotis bocagii
Myotis brandtii
Myotis escalerai
Myotis mystacinus
Myrmelastes hyperythrus
Nyctalus noctula
Plecotus austriacus
Podarcis liolepis
Psammodromus algirus 
Rhinolophus alcyone
Rhinolophus euryale
Rhinolophus ferrumequinum
Rhinolophus hipposideros
Rhinolophus landeri
Salamandra atra
Sceloporus mucronatus
Sceloporus tristichus
Sceloporus subniger
Sceloporus torquatus
Sceloporus variabilis
Tarentola mauritanica
