ID,mag_name,assembly_type,link_to_assembly,GTDB_version,domain,phylum,class,order,family,genus,species,closest_placement_ani,completeness,contamination,size,GC,N50,contigs,number_genes,cazy_hits,pfam_hits,kegg_hits,number_unannotated_genes,percent_unannotated_genes,host_species,AB_batch,taxonomy_level,sample_type
EHM012458,EHA00463_bin.22.fa,Individual,EHA00463,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__,93.16,50.62,6.03,1336944,62.60%,3550.00,427,911,54,735,439,160,18,Peromyscus maniculatus,ABB0111,Genus,Faecal
EHM018259,EHA00548_bin.1.fa,Individual,EHA00548,2.3.0,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__,94.69,63.81,3.54,2299287,53.70%,3369.00,731,1659,32,1250,716,377,23,Psittacula echo,ABB0129,Genus,Faecal
EHM018280,EHA00551_bin.3.fa,Individual,EHA00551,2.3.0,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Citrobacter_A,s__Citrobacter_A amalonaticus,93.49,97.08,3.14,4880163,53.90%,103231.00,73,4601,97,4210,3387,308,7,Psittacula echo,ABB0129,Species,Faecal
EHM018267,EHA00548_bin.8.fa,Individual,EHA00548,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium,s__,80.99,56.89,1.72,2468585,27.50%,210501.00,29,2380,107,1853,1112,496,21,Psittacula echo,ABB0129,Genus,Faecal
EHM018279,EHA00551_bin.2.fa,Individual,EHA00551,2.3.0,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus_D,s__Enterococcus_D innesii,98.25,98.77,1.08,3284143,42.70%,70701.00,108,3122,140,2626,1778,433,14,Psittacula echo,ABB0129,Species,Faecal
EHM018283,EHA00551_bin.6.fa,Individual,EHA00551,2.3.0,d__Bacteria,p__Bacillota,c__Bacilli,o__Bacillales,f__Planococcaceae,g__Lysinibacillus,s__,91.98,92.43,0.04,4746767,36.60%,55554.00,143,4774,72,3729,2348,975,20,Psittacula echo,ABB0129,Genus,Faecal
EHM018263,EHA00548_bin.4.fa,Individual,EHA00548,2.3.0,d__Bacteria,p__Bacillota,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae,g__Paenibacillus,s__,0.00,98.92,0.00,3881471,41.40%,286075.00,20,3577,128,2989,2113,533,15,Psittacula echo,ABB0129,Genus,Faecal
EHM018277,EHA00551_bin.1.fa,Individual,EHA00551,2.3.0,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_E,s__Pseudomonas_E sp000282275,93.84,64.16,1.40,3566325,60.30%,3001.00,1242,2440,36,1923,1213,466,19,Psittacula echo,ABB0129,Species,Faecal
EHM018281,EHA00551_bin.4.fa,Individual,EHA00551,2.3.0,d__Bacteria,p__Bacillota,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus pseudoxylosus,97.28,99.44,1.39,2920963,32.70%,126891.00,43,2802,49,2348,1617,396,14,Psittacula echo,ABB0129,Species,Faecal
EHM019922,EHA01190_bin.17.fa,Coassembly,EHA01190,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Albibacterium,s__,80.03,55.53,1.52,1477044,41.00%,2881.00,49,1006,34,791,408,203,20,Psittacula echo,ABB0170,Genus,Faecal
EHM019920,EHA01190_bin.15.fa,Coassembly,EHA01190,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Dwaynesavagella,s__,92.93,96.15,0.00,1656051,25.70%,58576.00,299,1667,44,1222,820,420,25,Psittacula echo,ABB0170,Genus,Faecal
EHM019923,EHA01190_bin.18.fa,Coassembly,EHA01190,2.3.0,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Morganella,s__Morganella morganii,99.06,99.45,0.27,3950211,51.10%,367867.00,44,3736,54,3169,2463,490,13,Psittacula echo,ABB0170,Species,Faecal
EHM019921,EHA01190_bin.16.fa,Coassembly,EHA01190,2.3.0,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Pantoea,s__Pantoea vagans_C,96.92,96.46,3.71,5806717,53.50%,36334.00,528,5524,116,4605,3405,773,14,Psittacula echo,ABB0170,Species,Faecal
EHM019931,EHA01190_bin.25.fa,Coassembly,EHA01190,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Planobacterium,s__Planobacterium sp023387375,99.02,97.56,1.31,2087483,39.80%,15856.00,274,1938,52,1568,964,345,18,Psittacula echo,ABB0170,Species,Faecal
